,Bowl Name,Date,Home Score,Home Team,Line,Visitor,Visitor Score
173,Peach Bowl,12/31/1988,28,No Carolina State,1.0,Iowa,23
215,Rose Bowl,01/01/1991,46,Washington,10.0,Iowa,34
225,Holiday Bowl,12/30/1991,13,Iowa,4.0,Brigham Young,13
263,Alamo Bowl,12/31/1993,37,California,9.0,Iowa,3
298,Sun Bowl,12/29/1995,38,Iowa,-5.5,Washington,18
316,Alamo Bowl,12/29/1996,0,Texas Tech,4.0,Iowa,27
337,Sun Bowl,12/31/1997,17,Arizona State,-2.0,Iowa,7
428,Alamo Bowl,12/29/2001,16,Texas Tech,1.0,Iowa,19
469,Orange Bowl,01/02/2003,38,Southern Cal,4.5,Iowa,17
489,Outback Bowl,01/01/2004,37,Iowa,-4.0,Florida,17
522,Capital One Bowl,01/01/2005,25,Louisiana State,6.0,Iowa,30
548,Outback Bowl,01/02/2006,31,Florida,1.5,Iowa,24
573,Alamo Bowl,12/30/2006,26,Texas,9.0,Iowa,24
640,Outback Bowl,01/01/2009,10,South Carolina,-3.5,Iowa,31
683,,01/05/2010,14,Georgia Tech,5.5,Iowa,24
696,,12/28/2010,27,Iowa,-3.0,Missouri,24
738,,12/30/2011,31,Oklahoma,14.0,Iowa,14
817,,01/01/2014,21,Louisiana State,7.5,Iowa,14
