,Date,Home Score,Home Team,Line,Line ,Visitor,Visitor Score
5700,11/09/1985,14.0,Louisiana State,-1.5,,Alabama,14.0
5701,11/09/1985,45.0,Air Force,12.5,,Army,7.0
5702,11/09/1985,20.0,Arkansas,2.0,,Baylor,14.0
5703,11/09/1985,0.0,Utah State,-29.0,,Brigham Young,44.0
5704,11/09/1985,35.0,Georgia Tech, ,,Chattanooga,7.0
5705,11/09/1985,21.0,North Carolina,-2.5,,Clemson,20.0
5706,11/09/1985,10.0,Toledo, ,,Central Michigan,7.0
5707,11/09/1985,3.0,Kansas,2.5,,Colorado,14.0
5708,11/09/1985,45.0,Tulsa, ,,Drake,15.0
5709,11/09/1985,27.0,Wake Forest,2.0,,Duke,7.0
5710,11/09/1985,35.0,Auburn,33.5,,East Carolina,10.0
5711,11/09/1985,24.0,Georgia,-4.0,,Florida,3.0
5712,11/09/1985,37.0,Pacific, ,,Fresno State,43.0
5713,11/09/1985,7.0,UTEP,-13.0,,Hawaii,23.0
5714,11/09/1985,49.0,Nebraska,38.0,,Iowa State,0.0
5715,11/09/1985,59.0,Iowa,7.0,,Illinois,0.0
5716,11/09/1985,29.0,Ball State, ,,Indiana State,27.0
5717,11/09/1985,52.0,Miami-Ohio, ,,Kent State,24.0
5718,11/09/1985,35.0,Oklahoma State,32.0,,Kansas State,3.0
5719,11/09/1985,31.0,Vanderbilt,-8.0,,Kentucky,24.0
5720,11/09/1985,41.0,Virginia Tech,29.0,,Louisville,17.0
5721,11/09/1985,16.0,Indiana,-6.0,,Michigan State,35.0
5722,11/09/1985,22.0,Maryland,-2.5,,Miami-Florida,29.0
5723,11/09/1985,37.0,Notre Dame,18.5,,Mississippi,14.0
5724,11/09/1985,0.0,Eastern Michigan, ,,Northern Illinois,3.0
5725,11/09/1985,58.0,Utah,17.0,,New Mexico,49.0
5726,11/09/1985,21.0,Fullerton State, ,,New Mexico State,17.0
5727,11/09/1985,17.0,Northwestern,-25.0,,Ohio State,35.0
5728,11/09/1985,6.0,Missouri,-24.5,,Oklahoma,51.0
5729,11/09/1985,39.0,Stanford,13.5,,Oregon State,24.0
5730,11/09/1985,10.0,Cincinnati,-13.5,,Penn State,31.0
5731,11/09/1985,17.0,Temple,-3.0,,Pittsburgh,21.0
5732,11/09/1985,47.0,Michigan,14.0,,Purdue,0.0
5733,11/09/1985,40.0,S-M-U,25.0,,Rice,15.0
5734,11/09/1985,27.0,West Virginia,8.0,,Rutgers,0.0
5735,11/09/1985,14.0,California,-10.5,,Southern Cal,6.0
5736,11/09/1985,56.0,Florida State,14.0,,South Carolina,14.0
5737,11/09/1985,41.0,Wyoming,-8.5,,San Diego State,20.0
5738,11/09/1985,41.0,Arkansas State, ,,Southern Illinois,12.0
5739,11/09/1985,35.0,Colorado State,-13.5,,Southern Miss,17.0
5740,11/09/1985,27.0,Tulane, ,,UL-Lafayette,17.0
5741,11/09/1985,20.0,Navy,-4.0,,Syracuse,24.0
5742,11/09/1985,63.0,Texas Tech,10.0,,Texas Christian,7.0
5743,11/09/1985,7.0,Memphis,-10.0,,Tennessee,17.0
5744,11/09/1985,24.0,Houston,-7.5,,Texas,34.0
5745,11/09/1985,19.0,Arizona,-5.0,,U.C.L.A.,24.0
5746,11/09/1985,48.0,Nevada-Reno, ,,Nevada-Las Vegas,7.0
5747,11/09/1985,23.0,No Carolina State,-8.0,,Virginia,22.0
5748,11/09/1985,36.0,Arizona State,2.5,,Washington,7.0
5749,11/09/1985,26.0,Illinois State, ,,Wichita State,0.0
5750,11/09/1985,27.0,Minnesota,9.0,,Wisconsin,18.0
5751,11/09/1985,21.0,Ohio, ,,Western Michigan,15.0
5752,11/16/1985,28.0,Brigham Young,1.5,,Air Force,21.0
5753,11/16/1985,10.0,Texas A+M,1.0,,Arkansas,6.0
5754,11/16/1985,10.0,Georgia,1.0,,Auburn,24.0
5755,11/16/1985,41.0,Syracuse,6.0,,Boston College,21.0
5756,11/16/1985,9.0,Ball State, ,,Central Michigan,23.0
5757,11/16/1985,28.0,Rutgers,9.5,,Colgate,14.0
5758,11/16/1985,31.0,Oklahoma,19.0,,Colorado,0.0
5759,11/16/1985,21.0,Louisville, ,,Eastern Kentucky,45.0
5760,11/16/1985,31.0,Long Beach State, ,,Fresno State,33.0
5761,11/16/1985,8.0,Northern Arizona, ,,Fullerton State,22.0
5762,11/16/1985,14.0,Kansas State,-1.0,,Iowa State,21.0
5763,11/16/1985,41.0,Illinois,17.5,,Indiana,24.0
5764,11/16/1985,24.0,Illinois State, ,,Indiana State,21.0
5765,11/16/1985,24.0,Purdue,-13.5,,Iowa,27.0
5766,11/16/1985,56.0,Nebraska,24.5,,Kansas,6.0
5767,11/16/1985,15.0,Florida,19.0,,Kentucky,13.0
5768,11/16/1985,3.0,UL-Lafayette, ,,McNeese State,14.0
5769,11/16/1985,31.0,Clemson,-6.5,,Maryland,34.0
5770,11/16/1985,49.0,Army,6.5,,Memphis,7.0
5771,11/16/1985,16.0,Eastern Michigan, ,,Miami-Ohio,31.0
5772,11/16/1985,7.0,Minnesota,-11.5,,Michigan,48.0
5773,11/16/1985,34.0,Tennessee,14.0,,Mississippi,14.0
5774,11/16/1985,64.0,Washington State, ,,Montana State,14.0
5775,11/16/1985,17.0,Louisiana State,9.0,,Mississippi State,15.0
5776,11/16/1985,34.0,South Carolina,6.0,,Navy,31.0
5777,11/16/1985,24.0,Virginia,4.0,,North Carolina,22.0
5778,11/16/1985,31.0,Duke,0.0,,No Carolina State,19.0
5779,11/16/1985,36.0,Penn State,2.0,,Notre Dame,6.0
5780,11/16/1985,32.0,Michigan State,22.0,,Northwestern,0.0
5781,11/16/1985,35.0,Northern Illinois, ,,Ohio,7.0
5782,11/16/1985,19.0,Missouri,-20.0,,Oklahoma State,21.0
5783,11/16/1985,20.0,Arizona,7.5,,Oregon,8.0
5784,11/16/1985,41.0,U.C.L.A.,30.0,,Oregon State,0.0
5785,11/16/1985,34.0,Baylor,22.5,,Rice,10.0
5786,11/16/1985,20.0,Washington,3.0,,Southern Cal,17.0
5787,11/16/1985,6.0,UTEP, ,,San Diego State,34.0
5788,11/16/1985,14.0,Western Illinois, ,,Southern Illinois,7.0
5789,11/16/1985,24.0,Alabama,14.0,,Southern Miss,13.0
5790,11/16/1985,21.0,Arizona State,16.0,,Stanford,14.0
5791,11/16/1985,20.0,Texas,28.0,,Texas Christian,0.0
5792,11/16/1985,23.0,West Virginia,7.5,,Temple,10.0
5793,11/16/1985,21.0,Bowling Green, ,,Toledo,0.0
5794,11/16/1985,9.0,S-M-U,16.0,,Texas Tech,7.0
5795,11/16/1985,20.0,East Carolina,-3.5,,Tulsa,21.0
5796,11/16/1985,16.0,San Jose State, ,,Nevada-Las Vegas,16.0
5797,11/16/1985,21.0,Colorado State,-7.0,,Utah,19.0
5798,11/16/1985,24.0,Vanderbilt,-5.5,,Virginia Tech,38.0
5799,11/16/1985,50.0,Florida State, ,,Western Carolina,10.0
5800,11/16/1985,41.0,Georgia Tech,14.0,,Wake Forest,10.0
5801,11/16/1985,7.0,Ohio State,19.5,,Wisconsin,12.0
5802,11/16/1985,3.0,Kent State, ,,Western Michigan,34.0
5803,11/16/1985,25.0,New Mexico State, ,,West Texas A+M,55.0
5804,11/16/1985,41.0,New Mexico,-1.0,,Wyoming,16.0
5805,11/23/1985,20.0,Hawaii,-14.5,,Air Force,27.0
5806,11/23/1985,13.0,Arizona State,5.5,,Arizona,16.0
5807,11/23/1985,17.0,Texas,-2.0,,Baylor,10.0
5808,11/23/1985,17.0,Ohio, ,,Bowling Green,38.0
5809,11/23/1985,24.0,Stanford,-1.0,,California,22.0
5810,11/23/1985,16.0,Miami-Ohio, ,,Cincinnati,10.0
5811,11/23/1985,17.0,South Carolina,-3.5,,Clemson,24.0
5812,11/23/1985,24.0,Miami-Florida,31.0,,Colorado State,3.0
5813,11/23/1985,21.0,North Carolina,11.5,,Duke,23.0
5814,11/23/1985,38.0,Western Michigan, ,,Eastern Michigan,21.0
5815,11/23/1985,27.0,Long Beach State, ,,Fullerton State,38.0
5816,11/23/1985,38.0,Boston College,22.0,,Holy Cross,7.0
5817,11/23/1985,20.0,Northwestern,-20.0,,Illinois,45.0
5818,11/23/1985,10.0,Toledo, ,,Kent State,7.0
5819,11/23/1985,30.0,Colorado,24.0,,Kansas State,0.0
5820,11/23/1985,7.0,Notre Dame,2.5,,Louisiana State,10.0
5821,11/23/1985,7.0,Wisconsin,-6.0,,Michigan State,41.0
5822,11/23/1985,31.0,Iowa,18.0,,Minnesota,9.0
5823,11/23/1985,27.0,Mississippi State,9.0,,Mississippi,45.0
5824,11/23/1985,34.0,Kansas,7.0,,Missouri,20.0
5825,11/23/1985,27.0,Oklahoma,3.0,,Nebraska,7.0
5826,11/23/1985,30.0,Central Michigan, ,,Northern Illinois,21.0
5827,11/23/1985,27.0,Michigan,7.0,,Ohio State,17.0
5828,11/23/1985,15.0,Iowa State,-20.0,,Oklahoma State,10.0
5829,11/23/1985,34.0,Oregon,18.5,,Oregon State,13.0
5830,11/23/1985,0.0,Pittsburgh,-6.5,,Penn State,31.0
5831,11/23/1985,21.0,Indiana,-6.0,,Purdue,34.0
5832,11/23/1985,20.0,New Mexico, ,,San Diego State,55.0
5833,11/23/1985,15.0,Arkansas,1.5,,S-M-U,9.0
5834,11/23/1985,14.0,Rutgers,-9.0,,Syracuse,31.0
5835,11/23/1985,0.0,Kentucky,-4.5,,Tennessee,42.0
5836,11/23/1985,17.0,Houston,2.0,,Texas Tech,16.0
5837,11/23/1985,24.0,Southern Miss,16.0,,Tulane,6.0
5838,11/23/1985,6.0,Texas Christian,-24.0,,Texas A+M,53.0
5839,11/23/1985,17.0,Southern Cal,-6.5,,U.C.L.A.,13.0
5840,11/23/1985,38.0,Brigham Young,20.5,,Utah,28.0
5841,11/23/1985,23.0,New Mexico State, ,,Utah State,40.0
5842,11/23/1985,20.0,Washington,4.5,,Washington State,21.0
5843,11/23/1985,36.0,Pacific, ,,Weber State,34.0
5844,11/23/1985,47.0,Fresno State, ,,Wichita State,6.0
5845,11/28/1985,42.0,Texas A+M,3.5,,Texas,10.0
5846,11/29/1985,33.0,Maryland,14.5,,Virginia,21.0
5847,11/30/1985,23.0,Auburn,3.5,,Alabama,25.0
5848,11/30/1985,38.0,Florida,3.5,,Florida State,14.0
5849,11/30/1985,37.0,Pacific, ,,Fullerton State,43.0
5850,11/30/1985,20.0,Georgia Tech,-3.5,,Georgia,16.0
5851,11/30/1985,20.0,Rice,-4.5,,Houston,24.0
5852,11/30/1985,19.0,Tulane,-19.0,,Louisiana State,31.0
5853,11/30/1985,58.0,Miami-Florida,12.5,,Notre Dame,7.0
5854,11/30/1985,0.0,Oklahoma State,-14.5,,Oklahoma,13.0
5855,11/30/1985,20.0,Southern Cal,7.5,,Oregon,6.0
5856,11/30/1985,10.0,Hawaii,2.0,,San Diego State,10.0
5857,11/30/1985,30.0,Tennessee,20.0,,Vanderbilt,0.0
5858,11/30/1985,10.0,Syracuse,7.5,,West Virginia,13.0
5859,12/06/1985,24.0,Wyoming,11.0,,UTEP,21.0
5860,12/07/1985,17.0,Navy,-7.0,,Army,7.0
5861,12/07/1985,6.0,Hawaii,-17.0,,Brigham Young,26.0
5862,12/07/1985,35.0,Louisiana State,24.0,,East Carolina,15.0
5863,12/07/1985,35.0,Oklahoma,14.5,,S-M-U,13.0
5864,08/27/1986,10.0,Ohio State,-4.5,,Alabama,16.0
5865,08/30/1986,14.0,New Mexico State, ,,Angelo State,20.0
5866,08/30/1986,10.0,Northern Illinois, ,,Ball State,20.0
5867,08/30/1986,49.0,Nevada-Reno, ,,Fullerton State,3.0
5868,08/30/1986,38.0,Florida, ,,Georgia Southern,14.0
5869,08/30/1986,24.0,Air Force,11.5,,Hawaii,17.0
5870,08/30/1986,17.0,Tulsa, ,,Louisiana Tech,22.0
5871,08/30/1986,14.0,South Carolina,-14.0,,Miami-Florida,34.0
5872,08/30/1986,64.0,UTEP, ,,Northern Michigan,29.0
5873,08/30/1986,24.0,Florida State, ,,Toledo,0.0
5874,08/30/1986,35.0,Kansas State, ,,Western Illinois,7.0
5875,09/01/1986,7.0,Pittsburgh,-2.5,,Maryland,10.0
5876,09/06/1986,21.0,UTEP,-15.0,,Air Force,23.0
5877,09/06/1986,21.0,Wake Forest, ,,Appalachian State,13.0
5878,09/06/1986,45.0,Miami-Ohio, ,,Ball State,7.0
5879,09/06/1986,28.0,Wyoming,-19.5,,Baylor,31.0
5880,09/06/1986,42.0,Auburn, ,,Chattanooga,14.0
5881,09/06/1986,20.0,Virginia Tech,8.0,,Cincinnati,24.0
5882,09/06/1986,45.0,North Carolina, ,,The Citadel,14.0
5883,09/06/1986,7.0,Colorado,14.5,,Colorado State,23.0
5884,09/06/1986,6.0,Northwestern,-6.0,,Duke,17.0
5885,09/06/1986,38.0,No Carolina State,5.0,,East Carolina,10.0
5886,09/06/1986,34.0,Nebraska,6.5,,Florida State,17.0
5887,09/06/1986,24.0,New Mexico State, ,,Fullerton State,21.0
5888,09/06/1986,37.0,Arizona,17.0,,Houston,3.0
5889,09/06/1986,41.0,Texas Tech,15.0,,Kansas State,7.0
5890,09/06/1986,28.0,Rice, ,,Lamar,14.0
5891,09/06/1986,27.0,San Diego State, ,,Long Beach State,24.0
5892,09/06/1986,23.0,Illinois,20.5,,Louisville,0.0
5893,09/06/1986,28.0,Mississippi,7.0,,Memphis,6.0
5894,09/06/1986,15.0,Florida,-4.0,,Miami-Florida,23.0
5895,09/06/1986,55.0,Fresno State, ,,Montana State,2.0
5896,09/06/1986,17.0,Syracuse,10.0,,Mississippi State,24.0
5897,09/06/1986,28.0,Southern Miss, ,,UL-Monroe,19.0
5898,09/06/1986,47.0,West Virginia, ,,Northern Illinois,14.0
5899,09/06/1986,35.0,Tennessee,21.0,,New Mexico,21.0
5900,09/06/1986,21.0,Bowling Green, ,,Ohio,16.0
5901,09/06/1986,20.0,UL-Lafayette, ,,Oklahoma State,21.0
5902,09/06/1986,14.0,San Jose State,-10.0,,Oregon,21.0
5903,09/06/1986,9.0,Boston College,12.5,,Rutgers,11.0
5904,09/06/1986,31.0,Pacific, ,,Sacramento State,7.0
5905,09/06/1986,30.0,Virginia,4.0,,South Carolina,20.0
5906,09/06/1986,69.0,Wichita State, ,,San Francisco State,6.0
5907,09/06/1986,45.0,Penn State,12.5,,Temple,15.0
5908,09/06/1986,51.0,Tulsa, ,,Tennessee Tech,0.0
5909,09/06/1986,18.0,Kent State, ,,Toledo,16.0
5910,09/06/1986,38.0,Oklahoma,7.0,,U.C.L.A.,3.0
5911,09/06/1986,34.0,Washington State, ,,Nevada-Las Vegas,14.0
5912,09/06/1986,52.0,Brigham Young, ,,Utah State,0.0
5913,09/06/1986,42.0,Alabama,22.0,,Vanderbilt,10.0
5914,09/06/1986,20.0,Hawaii,-5.5,,Wisconsin,17.0
5915,09/06/1986,21.0,Eastern Michigan, ,,Western Michigan,14.0
5916,09/13/1986,7.0,Kent State, ,,Akron,17.0
5917,09/13/1986,10.0,Memphis, ,,Arkansas State,30.0
5918,09/13/1986,20.0,Purdue, ,,Ball State,3.0
5919,09/13/1986,31.0,Wake Forest, ,,Boston University,0.0
5920,09/13/1986,31.0,Minnesota, ,,Bowling Green,7.0
5921,09/13/1986,21.0,Boston College,3.0,,California,15.0
5922,09/13/1986,32.0,Oregon,1.0,,Colorado,30.0
5923,09/13/1986,37.0,Arizona,18.0,,Colorado State,10.0
5924,09/13/1986,31.0,Georgia,22.0,,Duke,7.0
5925,09/13/1986,17.0,Youngstown State, ,,Eastern Michigan,18.0
5926,09/13/1986,17.0,Georgia Tech, ,,Furman,17.0
5927,09/13/1986,43.0,Iowa,16.5,,Iowa State,7.0
5928,09/13/1986,34.0,Central Michigan, ,,Idaho,21.0
5929,09/13/1986,35.0,Fullerton State, ,,Idaho State,25.0
5930,09/13/1986,31.0,Southern Cal,11.0,,Illinois,16.0
5931,09/13/1986,21.0,Indiana,12.5,,Louisville,0.0
5932,09/13/1986,38.0,Baylor, ,,Louisiana Tech,7.0
5933,09/13/1986,7.0,Ohio, ,,Marshall,21.0
5934,09/13/1986,20.0,Arizona State,4.5,,Michigan State,17.0
5935,09/13/1986,45.0,Cincinnati, ,,Miami-Ohio,38.0
5936,09/13/1986,23.0,Notre Dame,-7.0,,Michigan,24.0
5937,09/13/1986,21.0,Arkansas,10.0,,Mississippi,0.0
5938,09/13/1986,23.0,Tennessee,11.5,,Mississippi State,27.0
5939,09/13/1986,0.0,Kansas,-7.0,,North Carolina,20.0
5940,09/13/1986,24.0,UL-Lafayette, ,,UL-Monroe,20.0
5941,09/13/1986,35.0,Wisconsin, ,,Northern Illinois,20.0
5942,09/13/1986,31.0,Brigham Young,22.0,,New Mexico,30.0
5943,09/13/1986,0.0,Kansas State, ,,Northern Iowa,17.0
5944,09/13/1986,40.0,Washington,-2.5,,Ohio State,7.0
5945,09/13/1986,27.0,Tulsa,-5.5,,Oklahoma State,23.0
5946,09/13/1986,27.0,Fresno State,17.5,,Oregon State,0.0
5947,09/13/1986,23.0,Wyoming, ,,Pacific,20.0
5948,09/13/1986,14.0,No Carolina State,-8.5,,Pittsburgh,14.0
5949,09/13/1986,51.0,Nevada-Las Vegas, ,,Portland State,14.0
5950,09/13/1986,16.0,Kentucky,9.5,,Rutgers,16.0
5951,09/13/1986,30.0,Utah,6.5,,San Diego State,37.0
5952,09/13/1986,13.0,Washington State, ,,San Jose State,20.0
5953,09/13/1986,31.0,Alabama,17.0,,Southern Miss,17.0
5954,09/13/1986,3.0,Rice,-12.5,,S-M-U,45.0
5955,09/13/1986,20.0,Texas,9.0,,Stanford,31.0
5956,09/13/1986,33.0,Army,-7.0,,Syracuse,28.0
5957,09/13/1986,31.0,Tulane,4.0,,Texas Christian,48.0
5958,09/13/1986,17.0,Western Michigan, ,,Temple,49.0
5959,09/13/1986,61.0,Miami-Florida,21.0,,Texas Tech,11.0
5960,09/13/1986,35.0,Louisiana State,-3.5,,Texas A+M,17.0
5961,09/13/1986,33.0,New Mexico State,-3.0,,UTEP,47.0
5962,09/13/1986,24.0,Missouri, ,,Utah State,10.0
5963,09/13/1986,35.0,Maryland,16.0,,Vanderbilt,21.0
5964,09/13/1986,20.0,Navy,-6.0,,Virginia,10.0
5965,09/13/1986,14.0,Clemson,12.5,,Virginia Tech,20.0
5966,09/13/1986,45.0,South Carolina, ,,Western Carolina,24.0
5967,09/13/1986,30.0,Toledo, ,,Wichita State,13.0
5968,09/13/1986,21.0,East Carolina,-13.0,,West Virginia,24.0
5969,09/20/1986,24.0,Eastern Michigan, ,,Akron,21.0
5970,09/20/1986,10.0,Mississippi, ,,Arkansas State,10.0
5971,09/20/1986,7.0,Florida,1.5,,Alabama,21.0
5972,09/20/1986,17.0,Oregon,-8.5,,Arizona,41.0
5973,09/20/1986,25.0,Northwestern,-13.5,,Army,18.0
5974,09/20/1986,20.0,Central Michigan, ,,Bowling Green,10.0
5975,09/20/1986,52.0,Washington,7.5,,Brigham Young,21.0
5976,09/20/1986,48.0,Rutgers,5.5,,Cincinnati,28.0
5977,09/20/1986,28.0,Georgia,8.5,,Clemson,31.0
5978,09/20/1986,13.0,Ohio State,17.0,,Colorado,10.0
5979,09/20/1986,45.0,Auburn,23.5,,East Carolina,0.0
5980,09/20/1986,38.0,Temple, ,,Florida A+M,17.0
5981,09/20/1986,25.0,Idaho, ,,Fullerton State,17.0
5982,09/20/1986,14.0,Virginia,3.5,,Georgia Tech,28.0
5983,09/20/1986,12.0,Oklahoma State,11.0,,Houston,28.0
5984,09/20/1986,64.0,Iowa State, ,,Indiana State,9.0
5985,09/20/1986,37.0,Kentucky, ,,Kent State,12.0
5986,09/20/1986,35.0,Texas Christian,22.0,,Kansas State,22.0
5987,09/20/1986,13.0,Western Michigan, ,,Long Beach State,14.0
5988,09/20/1986,3.0,West Virginia,-4.0,,Maryland,24.0
5989,09/20/1986,12.0,Louisiana State, ,,Miami-Ohio,21.0
5990,09/20/1986,63.0,Oklahoma,30.0,,Minnesota,0.0
5991,09/20/1986,35.0,Wichita State, ,,Morehead State,36.0
5992,09/20/1986,28.0,Southern Miss,-7.0,,Mississippi State,24.0
5993,09/20/1986,52.0,Indiana,-3.0,,Navy,29.0
5994,09/20/1986,10.0,Florida State,9.5,,North Carolina,10.0
5995,09/20/1986,46.0,Colorado State, ,,Northern Colorado,14.0
5996,09/20/1986,20.0,Michigan State,-1.0,,Notre Dame,15.0
5997,09/20/1986,14.0,Illinois,-20.0,,Nebraska,59.0
5998,09/20/1986,57.0,Iowa, ,,Northern Illinois,3.0
5999,09/20/1986,14.0,Texas Tech,6.0,,New Mexico,7.0
6000,09/20/1986,41.0,Pacific, ,,New Mexico State,14.0
6001,09/20/1986,48.0,Texas A+M, ,,North Texas,28.0
6002,09/20/1986,22.0,Duke, ,,Ohio,7.0
6003,09/20/1986,31.0,Michigan,37.5,,Oregon State,12.0
6004,09/20/1986,14.0,Boston College,-15.0,,Penn State,26.0
6005,09/20/1986,26.0,Purdue,-3.5,,Pittsburgh,41.0
6006,09/20/1986,14.0,Baylor,5.0,,Southern Cal,17.0
6007,09/20/1986,28.0,Stanford, ,,San Jose State,10.0
6008,09/20/1986,30.0,Arizona State,3.5,,S-M-U,0.0
6009,09/20/1986,10.0,Memphis, ,,UL-Lafayette,26.0
6010,09/20/1986,6.0,Rice, ,,Texas State,31.0
6011,09/20/1986,25.0,Missouri,-7.5,,Texas,27.0
6012,09/20/1986,17.0,Vanderbilt,7.0,,Tulane,35.0
6013,09/20/1986,34.0,Arkansas,16.5,,Tulsa,17.0
6014,09/20/1986,14.0,San Diego State,-14.0,,U.C.L.A.,45.0
6015,09/20/1986,31.0,Hawaii,10.0,,UTEP,21.0
6016,09/20/1986,16.0,Kansas, ,,Utah State,13.0
6017,09/20/1986,17.0,Syracuse,6.0,,Virginia Tech,26.0
6018,09/20/1986,31.0,California,5.5,,Washington State,21.0
6019,09/20/1986,42.0,No Carolina State,4.0,,Wake Forest,38.0
6020,09/20/1986,17.0,Nevada-Las Vegas, ,,Wisconsin,7.0
6021,09/20/1986,45.0,Louisville, ,,Western Kentucky,6.0
6022,09/20/1986,17.0,Air Force,12.0,,Wyoming,23.0
6023,09/27/1986,21.0,Colorado,-9.5,,Arizona,24.0
6024,09/27/1986,14.0,Texas Tech,-9.5,,Baylor,45.0
6025,09/27/1986,24.0,Miami-Ohio, ,,Bowling Green,7.0
6026,09/27/1986,3.0,Georgia Tech,-1.0,,Clemson,27.0
6027,09/27/1986,24.0,Air Force,4.5,,Colorado State,7.0
6028,09/27/1986,42.0,Penn State,30.0,,East Carolina,17.0
6029,09/27/1986,37.0,Virginia Tech, ,,East Tennessee St,10.0
6030,09/27/1986,16.0,Mississippi State,-5.0,,Florida,10.0
6031,09/27/1986,20.0,Michigan,9.0,,Florida State,18.0
6032,09/27/1986,40.0,Nevada-Las Vegas, ,,Fullerton State,23.0
6033,09/27/1986,26.0,South Carolina,-10.0,,Georgia,31.0
6034,09/27/1986,23.0,Oklahoma State, ,,Illinois State,7.0
6035,09/27/1986,24.0,Missouri,4.0,,Indiana,41.0
6036,09/27/1986,20.0,Kansas, ,,Indiana State,6.0
6037,09/27/1986,16.0,Eastern Michigan, ,,Kent State,20.0
6038,09/27/1986,20.0,Cincinnati,-4.5,,Kentucky,37.0
6039,09/27/1986,41.0,U.C.L.A., ,,Long Beach State,23.0
6040,09/27/1986,41.0,Navy, ,,Lehigh,0.0
6041,09/27/1986,34.0,Fresno State, ,,Louisiana Tech,10.0
6042,09/27/1986,34.0,Louisville,1.5,,Memphis,8.0
6043,09/27/1986,16.0,Maryland,17.0,,No Carolina State,28.0
6044,09/27/1986,42.0,Arkansas, ,,New Mexico State,11.0
6045,09/27/1986,0.0,Princeton,-17.0,,Northwestern,37.0
6046,09/27/1986,56.0,Central Michigan, ,,Ohio,27.0
6047,09/27/1986,28.0,Miami-Florida,-6.0,,Oklahoma,16.0
6048,09/27/1986,48.0,Nebraska,37.0,,Oregon,14.0
6049,09/27/1986,20.0,Minnesota, ,,Pacific,24.0
6050,09/27/1986,41.0,Notre Dame,17.5,,Purdue,9.0
6051,09/27/1986,10.0,Syracuse,2.0,,Rutgers,16.0
6052,09/27/1986,34.0,New Mexico,1.5,,San Diego State,38.0
6053,09/27/1986,14.0,California, ,,San Jose State,35.0
6054,09/27/1986,16.0,Texas A+M,17.0,,Southern Miss,7.0
6055,09/27/1986,21.0,Texas Christian,-11.0,,S-M-U,31.0
6056,09/27/1986,7.0,Oregon State,-12.0,,Stanford,17.0
6057,09/27/1986,27.0,Brigham Young,10.0,,Temple,17.0
6058,09/27/1986,34.0,Auburn,8.0,,Tennessee,8.0
6059,09/27/1986,27.0,Ball State, ,,Toledo,10.0
6060,09/27/1986,35.0,Mississippi,6.5,,Tulane,10.0
6061,09/27/1986,14.0,Houston,4.0,,Tulsa,24.0
6062,09/27/1986,64.0,Ohio State,19.0,,Utah,6.0
6063,09/27/1986,69.0,Iowa,32.0,,UTEP,7.0
6064,09/27/1986,20.0,Duke,-5.5,,Virginia,13.0
6065,09/27/1986,20.0,Southern Cal,-6.5,,Washington,10.0
6066,09/27/1986,21.0,Arizona State,19.0,,Washington State,21.0
6067,09/27/1986,14.0,Army,5.0,,Wake Forest,49.0
6068,09/27/1986,36.0,Iowa State, ,,Wichita State,14.0
6069,09/27/1986,0.0,Northern Illinois, ,,Western Illinois,10.0
6070,09/27/1986,45.0,Michigan State, ,,Western Michigan,10.0
6071,09/27/1986,48.0,Pittsburgh,7.0,,West Virginia,16.0
6072,09/27/1986,12.0,Wisconsin,7.0,,Wyoming,21.0
6073,10/02/1986,20.0,Tulsa, ,,Fullerton State,10.0
6074,10/03/1986,35.0,Utah,-7.5,,Air Force,45.0
6075,10/03/1986,20.0,Brigham Young,16.0,,Colorado State,24.0
6076,10/04/1986,24.0,Yale,-20.0,,Army,41.0
6077,10/04/1986,9.0,U.C.L.A.,7.0,,Arizona State,16.0
6078,10/04/1986,3.0,Indiana State, ,,Ball State,16.0
6079,10/04/1986,31.0,S-M-U,7.0,,Boston College,29.0
6080,10/04/1986,50.0,Washington,21.0,,California,18.0
6081,10/04/1986,41.0,Pacific, ,,UC-Davis,45.0
6082,10/04/1986,24.0,Clemson, ,,The Citadel,0.0
6083,10/04/1986,33.0,Kent State, ,,Central Michigan,30.0
6084,10/04/1986,45.0,Navy,34.5,,Dartmouth,0.0
6085,10/04/1986,24.0,Vanderbilt,2.0,,Duke,18.0
6086,10/04/1986,23.0,Toledo, ,,Eastern Michigan,18.0
6087,10/04/1986,45.0,San Jose State, ,,Fresno State,41.0
6088,10/04/1986,21.0,North Carolina,10.0,,Georgia Tech,20.0
6089,10/04/1986,27.0,Baylor,20.0,,Houston,13.0
6090,10/04/1986,14.0,Ohio State,17.0,,Illinois,0.0
6091,10/04/1986,7.0,Northwestern,-9.0,,Indiana,24.0
6092,10/04/1986,21.0,Michigan State,1.0,,Iowa,24.0
6093,10/04/1986,56.0,Oklahoma,50.0,,Kansas State,10.0
6094,10/04/1986,24.0,Cincinnati,9.5,,Louisville,17.0
6095,10/04/1986,17.0,Florida,2.0,,Louisiana State,28.0
6096,10/04/1986,14.0,Ohio, ,,Miami-Ohio,34.0
6097,10/04/1986,17.0,Wisconsin,-21.0,,Michigan,34.0
6098,10/04/1986,9.0,Purdue,2.0,,Minnesota,36.0
6099,10/04/1986,14.0,Georgia,13.5,,Mississippi,10.0
6100,10/04/1986,41.0,Syracuse,5.5,,Missouri,9.0
6101,10/04/1986,17.0,Memphis,-22.0,,Mississippi State,34.0
6102,10/04/1986,28.0,Alabama,7.0,,Notre Dame,10.0
