Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/27/2014,Abilene Christian,37,Georgia State,38,
08/28/2014,Texas A+M,52,South Carolina,28,9.0
08/28/2014,Wake Forest,10,UL-Monroe,17,1.5
08/28/2014,Tulane,31,Tulsa,38,5.0
08/28/2014,Boise State,13,Mississippi,35,10.0
08/28/2014,Temple,37,Vanderbilt,7,8.5
08/28/2014,Rutgers,41,Washington State,38,7.5
08/28/2014,Chattanooga,16,Central Michigan,20,
08/28/2014,Eastern Illinois,20,Minnesota,42,
08/28/2014,Howard,0,Akron,41,
08/28/2014,Presbyterian,3,Northern Illinois,55,
08/28/2014,Idaho State,14,Utah,56,
08/28/2014,Cal-San Luis Obispo,10,New Mexico State,28,
08/28/2014,North Dakota,10,San Jose State,42,
08/28/2014,Weber State,14,Arizona State,45,
08/29/2014,Brigham Young,35,Connecticut,10,-14.5
08/29/2014,Bowling Green,31,Western Kentucky,59,-7.0
08/29/2014,Colorado State,31,Colorado,17,2.5
08/29/2014,Texas-San Antonio,27,Houston,7,8.0
08/29/2014,Nevada-Las Vegas,13,Arizona,58,20.5
08/29/2014,Jacksonville St,7,Michigan State,45,
08/29/2014,Villanova,26,Syracuse,27,
08/30/2014,Penn State,26,U-C-F,24,2.5
08/30/2014,Ohio State,34,Navy,17,-13.0
08/30/2014,U.C.L.A.,28,Virginia,20,-18.5
08/30/2014,Appalachian State,14,Michigan,52,29.5
08/30/2014,Troy,10,U-A-B,48,-2.0
08/30/2014,California,31,Northwestern,24,8.5
08/30/2014,Georgia Southern,23,No Carolina State,24,20.5
08/30/2014,Florida Atlantic,7,Nebraska,55,21.0
08/30/2014,Boston College,30,Massachusetts,7,-17.0
08/30/2014,Marshall,42,Miami-Ohio,27,-24.0
08/30/2014,Rice,17,Notre Dame,48,20.5
08/30/2014,Alabama,33,West Virginia,23,-22.0
08/30/2014,Arkansas,21,Auburn,45,17.0
08/30/2014,Clemson,21,Georgia,45,10.5
08/30/2014,Ohio,17,Kent State,14,3.0
08/30/2014,Louisiana Tech,16,Oklahoma,48,34.0
08/30/2014,Western Michigan,34,Purdue,43,7.0
08/30/2014,Fresno State,13,Southern Cal,52,18.5
08/30/2014,Southern Miss,0,Mississippi State,49,31.0
08/30/2014,Washington,17,Hawaii,16,-17.0
08/30/2014,Florida State,37,Oklahoma State,31,-19.0
08/30/2014,North Texas,7,Texas,38,21.5
08/30/2014,UTEP,31,New Mexico,24,9.0
08/30/2014,Louisiana State,28,Wisconsin,24,-3.0
08/30/2014,Wofford,19,Georgia Tech,38,
08/30/2014,Colgate,10,Ball State,30,
08/30/2014,Nicholls State,16,Air Force,44,
08/30/2014,Southern Utah,19,Nevada-Reno,28,
08/30/2014,Duquesne,28,Buffalo,38,
08/30/2014,South Dakota State,18,Missouri,38,
08/30/2014,William + Mary,9,Virginia Tech,34,
08/30/2014,UC-Davis,0,Stanford,45,
08/30/2014,Montana,12,Wyoming,17,
08/30/2014,Portland State,14,Oregon State,29,
08/30/2014,Elon,13,Duke,52,
08/30/2014,Liberty,29,North Carolina,56,
08/30/2014,Morgan State,28,Eastern Michigan,31,
08/30/2014,Arkansas-Pine Bluff,0,Texas State,65,
08/30/2014,Central Arkansas,35,Texas Tech,42,
08/30/2014,Montana State,10,Arkansas State,37,
08/30/2014,New Hampshire,20,Toledo,54,
08/30/2014,Northern Arizona,7,San Diego State,38,
08/30/2014,Austin Peay,0,Memphis,63,
08/30/2014,Samford,14,Texas Christian,48,
08/30/2014,Southern Univ,6,UL-Lafayette,45,
08/30/2014,Western Carolina,31,South Florida,36,
08/30/2014,Stephen F Austin,16,Kansas State,55,
08/30/2014,No Carolina Central,7,East Carolina,52,
08/30/2014,South Dakota,13,Oregon,62,
08/30/2014,Bethune-Cookman,14,Florida Intl,12,
08/30/2014,Delaware,0,Pittsburgh,62,
08/30/2014,Hampton,28,Old Dominion,41,
08/30/2014,Indiana State,10,Indiana,28,
08/30/2014,James Madison,7,Maryland,52,
08/30/2014,North Dakota St,34,Iowa State,14,
08/30/2014,Northern Iowa,23,Iowa,31,
08/30/2014,Savannah State,7,Middle Tennessee,61,
08/30/2014,Tennessee-Martin,14,Kentucky,59,
08/30/2014,Youngstown State,17,Illinois,28,
08/31/2014,Utah State,7,Tennessee,38,4.0
08/31/2014,S-M-U,0,Baylor,45,33.0
09/01/2014,Miami-Florida,13,Louisville,31,4.5
09/04/2014,Arizona,26,Texas-San Antonio,23,-7.0
09/05/2014,Pittsburgh,30,Boston College,20,-5.0
09/05/2014,Washington State,13,Nevada-Reno,24,-3.0
09/06/2014,Florida Atlantic,0,Alabama,41,41.0
09/06/2014,Kansas State,32,Iowa State,28,-12.5
09/06/2014,S-M-U,6,North Texas,43,3.0
09/06/2014,Ball State,13,Iowa,17,17.5
09/06/2014,Northern Illinois,23,Northwestern,15,7.0
09/06/2014,Central Michigan,38,Purdue,17,3.0
09/06/2014,Buffalo,39,Army,47,3.0
09/06/2014,Missouri,49,Toledo,24,-3.5
09/06/2014,Navy,31,Temple,24,-3.0
09/06/2014,Arkansas State,19,Tennessee,34,16.0
09/06/2014,Western Kentucky,34,Illinois,42,3.5
09/06/2014,U-A-B,34,Mississippi State,47,28.0
09/06/2014,New Mexico State,34,Georgia State,31,3.0
09/06/2014,Colorado,41,Massachusetts,38,-18.0
09/06/2014,South Alabama,23,Kent State,13,-2.0
09/06/2014,Fresno State,27,Utah,59,14.0
09/06/2014,Southern Cal,13,Stanford,10,3.0
09/06/2014,Akron,3,Penn State,21,14.0
09/06/2014,Ohio,3,Kentucky,20,13.5
09/06/2014,Eastern Michigan,0,Florida,65,41.0
09/06/2014,Mississippi,41,Vanderbilt,3,-19.5
09/06/2014,Old Dominion,34,No Carolina State,46,16.5
09/06/2014,Michigan State,27,Oregon,46,12.0
09/06/2014,Idaho,31,UL-Monroe,38,13.0
09/06/2014,Middle Tennessee,24,Minnesota,35,14.0
09/06/2014,Louisiana Tech,48,UL-Lafayette,20,16.0
09/06/2014,Arizona State,58,New Mexico,23,-24.0
09/06/2014,Duke,34,Troy,17,-17.0
09/06/2014,East Carolina,23,South Carolina,33,15.0
09/06/2014,San Jose State,13,Auburn,59,33.5
09/06/2014,Georgia Tech,38,Tulane,21,-10.0
09/06/2014,Maryland,24,South Florida,17,-12.0
09/06/2014,Michigan,0,Notre Dame,31,3.5
09/06/2014,Brigham Young,41,Texas,7,1.0
09/06/2014,San Diego State,27,North Carolina,31,15.5
