,Date,Visitor,Visitor Score,Home Team,Home Score,Line
98,09/16/1978,Northwestern,3.0,Iowa,20.0,14.0
99,09/16/1978,Oklahoma State,20.0,Florida State,38.0,14.0
100,09/16/1978,Oregon State,7.0,Arizona,21.0,12.0
101,09/16/1978,Penn State,19.0,Ohio State,0.0,6.0
102,09/16/1978,Pittsburgh,24.0,Tulane,6.0,-11.5
103,09/16/1978,Richmond,6.0,Wisconsin,7.0,13.0
104,09/16/1978,Southern Cal,37.0,Oregon,10.0,-19.0
105,09/16/1978,Santa Clara,20.0,Fullerton State,35.0, 
106,09/16/1978,South Dakota,11.0,Wyoming,30.0, 
107,09/16/1978,San Diego State,13.0,Iowa State,14.0,12.0
108,09/16/1978,Southern Illinois,22.0,Lamar,20.0, 
109,09/16/1978,San Jose State,9.0,Stanford,38.0,14.5
110,09/16/1978,Southern Miss,14.0,Cincinnati,26.0, 
111,09/16/1978,S-M-U,35.0,Florida,25.0,4.0
112,09/16/1978,UL-Lafayette,3.0,Tulsa,10.0, 
113,09/16/1978,Syracuse,19.0,No Carolina State,27.0,13.0
114,09/16/1978,Texas-Arlington,23.0,North Texas,28.0, 
115,09/16/1978,Temple,36.0,Drake,29.0, 
116,09/16/1978,Texas,34.0,Rice,0.0,-27.0
117,09/16/1978,Toledo,12.0,Minnesota,38.0, 
118,09/16/1978,U.C.L.A.,13.0,Tennessee,0.0,-6.5
119,09/16/1978,UTEP,32.0,New Mexico State,35.0, 
120,09/16/1978,Utah State,21.0,Colorado State,20.0, 
121,09/16/1978,Vanderbilt,17.0,Arkansas,48.0,25.0
122,09/16/1978,Villanova,25.0,Massachusetts,21.0, 
123,09/16/1978,Virginia Tech,28.0,Wake Forest,6.0,-4.5
124,09/16/1978,Western Carolina,14.0,East Tennessee St,21.0, 
125,09/16/1978,Western Illinois,20.0,Indiana State,31.0, 
126,09/16/1978,Western Kentucky,28.0,Illinois State,6.0, 
127,09/16/1978,Western Michigan,44.0,Northern Illinois,30.0, 
128,09/16/1978,William + Mary,27.0,Connecticut,3.0, 
129,09/16/1978,West Virginia,10.0,Oklahoma,52.0,32.0
130,09/23/1978,Arizona,26.0,Texas Tech,41.0,-3.0
131,09/23/1978,Arkansas,19.0,Oklahoma State,7.0,-18.5
132,09/23/1978,Auburn,18.0,Virginia Tech,7.0,-1.0
133,09/23/1978,Stephen F Austin,18.0,Lamar,20.0, 
134,09/23/1978,Arizona State,26.0,Washington State,51.0,0.0
135,09/23/1978,Baylor,21.0,Kentucky,25.0,7.5
136,09/23/1978,Chattanooga,27.0,Marshall,23.0, 
137,09/23/1978,Clemson,0.0,Georgia,12.0,-5.0
138,09/23/1978,Central Michigan,16.0,Alcorn State,24.0, 
139,09/23/1978,Colgate,7.0,Lehigh,38.0, 
140,09/23/1978,Columbia,21.0,Harvard,19.0,8.0
141,09/23/1978,Colorado State,6.0,Brigham Young,32.0, 
142,09/23/1978,Drake,0.0,Arkansas State,10.0, 
143,09/23/1978,East Carolina,38.0,UL-Lafayette,9.0, 
144,09/23/1978,Elon,7.0,Western Carolina,17.0, 
